<burst #, pair #> T1, T2, T3, T4
<burst 8, pair 2> e5cfb49a.20418937, e5cfb49a.3eb851eb, e5cfb49a.3eb851eb, e5cfb49a.3eb851eb
<burst 8, pair 3> e5cfb49a.472b020c, e5cfb49a.651eb851, e5cfb49a.65604189, e5cfb49a.651eb851
<burst 8, pair 4> e5cfb49a.610624dd, e5cfb49a.7eb851eb, e5cfb49a.7eb851eb, e5cfb49a.7eb851eb
<burst 8, pair 5> e5cfb49a.73b645a1, e5cfb49a.922d0e56, e5cfb49a.922d0e56, e5cfb49a.922d0e56
<burst 8, pair 6> e5cfb49a.90624dd2, e5cfb49a.add2f1a9, e5cfb49a.add2f1a9, e5cfb49a.add2f1a9
<burst 8, pair 7> e5cfb49a.b1eb851e, e5cfb49a.cfdf3b64, e5cfb49a.cfdf3b64, e5cfb49a.cfdf3b64
<burst 9, pair 0> e5cfb512.dba5e353, e5cfb512.fa9fbe76, e5cfb512.fae147ae, e5cfb512.fa9fbe76
<burst 9, pair 1> e5cfb513.00c49ba5, e5cfb513.1eb851eb, e5cfb513.1ef9db22, e5cfb513.1eb851eb
<burst 9, pair 2> e5cfb513.251eb851, e5cfb513.43d70a3d, e5cfb513.44189374, e5cfb513.43d70a3d
<burst 9, pair 3> e5cfb513.4c083126, e5cfb513.6ac08312, e5cfb513.6ac08312, e5cfb513.6ac08312
<burst 9, pair 4> e5cfb513.72b020c4, e5cfb513.90e56041, e5cfb513.9126e978, e5cfb513.90e56041
<burst 9, pair 5> e5cfb513.95810624, e5cfb513.b3333333, e5cfb513.b374bc6a, e5cfb513.b3333333
<burst 9, pair 6> e5cfb513.bf3b645a, e5cfb513.ddb22d0e, e5cfb513.ddb22d0e, e5cfb513.ddb22d0e
<burst 9, pair 7> e5cfb513.eac08312, e5cfb514.07ef9db2, e5cfb514.083126e9, e5cfb514.07ef9db2
<burst 10, pair 0> e5cfb58c.0ccccccc, e5cfb58c.2b851eb8, e5cfb58c.2b851eb8, e5cfb58c.2b851eb8
<burst 10, pair 1> e5cfb58c.2b439581, e5cfb58c.49374bc6, e5cfb58c.49374bc6, e5cfb58c.49374bc6
<burst 10, pair 2> e5cfb58c.3a5e353f, e5cfb58c.5a5e353f, e5cfb58c.5a5e353f, e5cfb58c.5a5e353f
<burst 10, pair 3> e5cfb58c.4dd2f1a9, e5cfb58c.6c8b4395, e5cfb58c.6ccccccc, e5cfb58c.6c8b4395
<burst 10, pair 4> e5cfb58c.5be76c8b, e5cfb58c.7a9fbe76, e5cfb58c.7a9fbe76, e5cfb58c.7a9fbe76
<burst 10, pair 5> e5cfb58c.72f1a9fb, e5cfb58c.9126e978, e5cfb58c.9126e978, e5cfb58c.9126e978
<burst 10, pair 6> e5cfb58c.8f5c28f5, e5cfb58c.add2f1a9, e5cfb58c.add2f1a9, e5cfb58c.add2f1a9
<burst 10, pair 7> e5cfb58c.b89374bc, e5cfb58c.d6872b02, e5cfb58c.d6c8b439, e5cfb58c.d6872b02
<burst 11, pair 0> e5cfb604.d5810624, e5cfb605.04189374, e5cfb605.045a1cac, e5cfb605.04189374
<burst 11, pair 1> e5cfb604.fae147ae, e5cfb605.2872b020, e5cfb605.2872b020, e5cfb605.2872b020
<burst 11, pair 2> e5cfb605.189374bc, e5cfb605.4624dd2f, e5cfb605.4624dd2f, e5cfb605.4624dd2f
<burst 11, pair 3> e5cfb605.353f7ced, e5cfb605.645a1cac, e5cfb605.645a1cac, e5cfb605.645a1cac
<burst 11, pair 4> e5cfb605.50e56041, e5cfb605.7e76c8b4, e5cfb605.7e76c8b4, e5cfb605.7e76c8b4
<burst 11, pair 5> e5cfb605.73333333, e5cfb605.a0418937, e5cfb605.a0418937, e5cfb605.a0418937
<burst 11, pair 6> e5cfb605.9645a1ca, e5cfb605.c51eb851, e5cfb605.c51eb851, e5cfb605.c51eb851
<burst 11, pair 7> e5cfb605.b9581062, e5cfb605.e6e978d4, e5cfb605.e6e978d4, e5cfb605.e6e978d4
<burst 12, pair 0> e5cfb67d.dfbe76c8, e5cfb67e.0f1a9fbe, e5cfb67e.0f1a9fbe, e5cfb67e.0f1a9fbe
<burst 12, pair 1> e5cfb67d.ee147ae1, e5cfb67e.1d2f1a9f, e5cfb67e.1d2f1a9f, e5cfb67e.1d2f1a9f
<burst 12, pair 2> e5cfb67d.fbe76c8b, e5cfb67e.2ac08312, e5cfb67e.2ac08312, e5cfb67e.2ac08312
<burst 12, pair 3> e5cfb67e.0978d4fd, e5cfb67e.3916872b, e5cfb67e.3916872b, e5cfb67e.3916872b
<burst 12, pair 4> e5cfb67e.178d4fdf, e5cfb67e.49374bc6, e5cfb67e.49374bc6, e5cfb67e.49374bc6
<burst 12, pair 5> e5cfb67e.28f5c28f, e5cfb67e.5810624d, e5cfb67e.5810624d, e5cfb67e.5810624d
<burst 12, pair 6> e5cfb67e.36872b02, e5cfb67e.676c8b43, e5cfb67e.676c8b43, e5cfb67e.676c8b43
<burst 12, pair 7> e5cfb67e.46666666, e5cfb67e.75810624, e5cfb67e.75810624, e5cfb67e.75810624
<burst 13, pair 0> e5cfb6f6.53f7ced9, e5cfb6f6.8624dd2f, e5cfb6f6.86666666, e5cfb6f6.8624dd2f
<burst 13, pair 1> e5cfb6f6.64dd2f1a, e5cfb6f6.95c28f5c, e5cfb6f6.95c28f5c, e5cfb6f6.95c28f5c
<burst 13, pair 2> e5cfb6f6.73b645a1, e5cfb6f6.a45a1cac, e5cfb6f6.a45a1cac, e5cfb6f6.a45a1cac
<burst 13, pair 3> e5cfb6f6.828f5c28, e5cfb6f6.b3333333, e5cfb6f6.b3333333, e5cfb6f6.b3333333
<burst 13, pair 4> e5cfb6f6.922d0e56, e5cfb6f6.c3958106, e5cfb6f6.c3d70a3d, e5cfb6f6.c3958106
<burst 13, pair 5> e5cfb6f6.a189374b, e5cfb6f6.d2b020c4, e5cfb6f6.d2b020c4, e5cfb6f6.d2b020c4
<burst 13, pair 6> e5cfb6f6.b0e56041, e5cfb6f6.e3126e97, e5cfb6f6.e3126e97, e5cfb6f6.e3126e97
<burst 13, pair 7> e5cfb6f6.c10624dd, e5cfb6f6.f126e978, e5cfb6f6.f126e978, e5cfb6f6.f126e978
<burst 14, pair 0> e5cfb76e.cf5c28f5, e5cfb76e.ff3b645a, e5cfb76e.ff3b645a, e5cfb76e.ff3b645a
<burst 14, pair 1> e5cfb76e.e6a7ef9d, e5cfb76f.178d4fdf, e5cfb76f.178d4fdf, e5cfb76f.178d4fdf
<burst 14, pair 2> e5cfb76e.fd2f1a9f, e5cfb76f.2ccccccc, e5cfb76f.2ccccccc, e5cfb76f.2ccccccc
<burst 14, pair 3> e5cfb76f.122d0e56, e5cfb76f.428f5c28, e5cfb76f.428f5c28, e5cfb76f.428f5c28
<burst 14, pair 4> e5cfb76f.27ef9db2, e5cfb76f.5810624d, e5cfb76f.5810624d, e5cfb76f.5810624d
<burst 14, pair 5> e5cfb76f.353f7ced, e5cfb76f.66666666, e5cfb76f.66a7ef9d, e5cfb76f.66666666
<burst 14, pair 6> e5cfb76f.43958106, e5cfb76f.76041893, e5cfb76f.76041893, e5cfb76f.76041893
<burst 14, pair 7> e5cfb76f.53333333, e5cfb76f.8353f7ce, e5cfb76f.83958106, e5cfb76f.8353f7ce
