<burst #, pair #> T1, T2, T3, T4
<burst 7, pair 2> e5cf934c.b6041893, e5cf934c.cb791957, e5cf934c.cb79b00f, e5cf9230.b4495f0a
<burst 7, pair 3> e5cf934c.c6a7ef9d, e5cf934c.db8db0b3, e5cf934c.db8e4682, e5cf9230.b4495f0a
<burst 7, pair 4> e5cf934c.da5e353f, e5cf934c.f19e8172, e5cf934c.f19f184a, e5cf9230.b4495f0a
<burst 7, pair 5> e5cf934c.ec49ba5e, e5cf934d.015c4cde, e5cf934d.015cf773, e5cf9230.b4495f0a
<burst 7, pair 6> e5cf934c.fbe76c8b, e5cf934d.124e20c2, e5cf934d.124e98b4, e5cf9230.b4495f0a
<burst 7, pair 7> e5cf934d.0d4fdf3b, e5cf934d.21d87edf, e5cf934d.21d8f4c0, e5cf9230.b4495f0a
<burst 8, pair 0> e5cf93c5.20418937, e5cf93c5.356a85b3, e5cf93c5.356aea85, e5cf9230.b4495f0a
<burst 8, pair 1> e5cf93c5.32f1a9fb, e5cf93c5.473ea4fd, e5cf93c5.473f1d64, e5cf9230.b4495f0a
<burst 8, pair 2> e5cf93c5.424dd2f1, e5cf93c5.568f05ce, e5cf93c5.568f5530, e5cf9230.b4495f0a
<burst 8, pair 3> e5cf93c5.516872b0, e5cf93c5.65645c7c, e5cf93c5.6564aec8, e5cf9230.b4495f0a
<burst 8, pair 4> e5cf93c5.60418937, e5cf93c5.744b8c2e, e5cf93c5.744bf44a, e5cf9230.b4495f0a
<burst 8, pair 5> e5cf93c5.70a3d70a, e5cf93c5.85808e9f, e5cf93c5.8580fe2b, e5cf9230.b4495f0a
<burst 8, pair 6> e5cf93c5.828f5c28, e5cf93c5.96ca774f, e5cf93c5.96cac5e5, e5cf9230.b4495f0a
<burst 8, pair 7> e5cf93c5.91a9fbe7, e5cf93c5.a5b2c338, e5cf93c5.a5b33448, e5cf9230.b4495f0a
<burst 9, pair 0> e5cf943d.a2d0e560, e5cf943d.b75934fb, e5cf943d.b759a727, e5cf9230.b4495f0a
<burst 9, pair 1> e5cf943d.b2b020c4, e5cf943d.c6b1489a, e5cf943d.c6b1bc92, e5cf9230.b4495f0a
<burst 9, pair 2> e5cf943d.c1cac083, e5cf943d.d5acb6eb, e5cf943d.d5ad2dde, e5cf9230.b4495f0a
<burst 9, pair 3> e5cf943d.d0a3d70a, e5cf943d.e4ce5a03, e5cf943d.e4ceae71, e5cf9230.b4495f0a
<burst 9, pair 4> e5cf943d.dfbe76c8, e5cf943d.f45582cf, e5cf943d.f455f555, e5cf9230.b4495f0a
<burst 9, pair 5> e5cf943d.f1a9fbe7, e5cf943e.059c21c5, e5cf943e.059ca74b, e5cf9230.b4495f0a
<burst 9, pair 6> e5cf943e.0147ae14, e5cf943e.15ebe42a, e5cf943e.15ec57af, e5cf9230.b4495f0a
<burst 9, pair 7> e5cf943e.1126e978, e5cf943e.25197576, e5cf943e.2519cc25, e5cf9230.b4495f0a
<burst 10, pair 0> e5cf94b6.22d0e560, e5cf94b6.36f442e3, e5cf94b6.36f55f87, e5cf9230.b4495f0a
<burst 10, pair 1> e5cf94b6.32b020c4, e5cf94b6.470f216b, e5cf94b6.470f9a5a, e5cf9230.b4495f0a
<burst 10, pair 2> e5cf94b6.42d0e560, e5cf94b6.56a77657, e5cf94b6.56a7fa36, e5cf9230.b4495f0a
<burst 10, pair 3> e5cf94b6.526e978d, e5cf94b6.66038cc4, e5cf94b6.660403d6, e5cf9230.b4495f0a
<burst 10, pair 4> e5cf94b6.6189374b, e5cf94b6.759304db, e5cf94b6.75937c51, e5cf9230.b4495f0a
<burst 10, pair 5> e5cf94b6.71eb851e, e5cf94b6.8583af9b, e5cf94b6.8584244b, e5cf9230.b4495f0a
<burst 10, pair 6> e5cf94b6.8147ae14, e5cf94b6.95bb570c, e5cf94b6.95bba91b, e5cf9230.b4495f0a
<burst 10, pair 7> e5cf94b6.922d0e56, e5cf94b6.a794e560, e5cf94b6.a7957c56, e5cf9230.b4495f0a
<burst 11, pair 0> e5cf952e.aa7ef9db, e5cf952e.be3f77a4, e5cf952e.be3fd652, e5cf9230.b4495f0a
<burst 11, pair 1> e5cf952e.ba1cac08, e5cf952e.cd8392c6, e5cf952e.cd83f83f, e5cf9230.b4495f0a
<burst 11, pair 2> e5cf952e.c8f5c28f, e5cf952e.dc6259b5, e5cf952e.dc62bf54, e5cf9230.b4495f0a
<burst 11, pair 3> e5cf952e.d7ced916, e5cf952e.eb663986, e5cf952e.eb66e224, e5cf9230.b4495f0a
<burst 11, pair 4> e5cf952e.e6e978d4, e5cf952e.fa4f2ca0, e5cf952e.fa4fa80e, e5cf9230.b4495f0a
<burst 11, pair 5> e5cf952e.f851eb85, e5cf952f.0be44506, e5cf952f.0be4a6c8, e5cf9230.b4495f0a
<burst 11, pair 6> e5cf952f.076c8b43, e5cf952f.1af1faa8, e5cf952f.1af25cf9, e5cf9230.b4495f0a
<burst 11, pair 7> e5cf952f.16c8b439, e5cf952f.2a2dc676, e5cf952f.2a2e299c, e5cf9230.b4495f0a
<burst 12, pair 0> e5cf95a7.32b020c4, e5cf95a7.48461a63, e5cf95a7.48468e03, e5cf9230.b4495f0a
<burst 12, pair 1> e5cf95a7.445a1cac, e5cf95a7.5956e0d0, e5cf95a7.595746fa, e5cf9230.b4495f0a
<burst 12, pair 2> e5cf95a7.553f7ced, e5cf95a7.6840d973, e5cf95a7.68415496, e5cf9230.b4495f0a
<burst 12, pair 3> e5cf95a7.64189374, e5cf95a7.776ae6f3, e5cf95a7.776b679c, e5cf9230.b4495f0a
<burst 12, pair 4> e5cf95a7.73333333, e5cf95a7.87102e5f, e5cf95a7.8710a4c7, e5cf9230.b4495f0a
<burst 12, pair 5> e5cf95a7.83126e97, e5cf95a7.966ae51c, e5cf95a7.966b5c0f, e5cf9230.b4495f0a
<burst 12, pair 6> e5cf95a7.922d0e56, e5cf95a7.a5663472, e5cf95a7.a566ac8c, e5cf9230.b4495f0a
<burst 12, pair 7> e5cf95a7.a147ae14, e5cf95a7.b45cbb28, e5cf95a7.b45d1fde, e5cf9230.b4495f0a
<burst 13, pair 0> e5cf961f.b22d0e56, e5cf961f.c59a722e, e5cf961f.c59ae81a, e5cf9230.b4495f0a
<burst 13, pair 1> e5cf961f.c20c49ba, e5cf961f.d7264316, e5cf961f.d726accd, e5cf9230.b4495f0a
<burst 13, pair 2> e5cf961f.d3333333, e5cf961f.e62357f0, e5cf961f.e6241fa4, e5cf9230.b4495f0a
<burst 13, pair 3> e5cf961f.e24dd2f1, e5cf961f.f52c5541, e5cf961f.f52ccf5d, e5cf9230.b4495f0a
<burst 13, pair 4> e5cf961f.f126e978, e5cf9620.040d5694, e5cf9620.040dc2f6, e5cf9230.b4495f0a
<burst 13, pair 5> e5cf9620.00418937, e5cf9620.136b58d4, e5cf9620.136bcc95, e5cf9230.b4495f0a
<burst 13, pair 6> e5cf9620.10e56041, e5cf9620.2406ed64, e5cf9620.24075008, e5cf9230.b4495f0a
<burst 13, pair 7> e5cf9620.20418937, e5cf9620.334038ff, e5cf9620.3340ad0a, e5cf9230.b4495f0a
<burst 14, pair 0> e5cf9698.3374bc6a, e5cf9698.46ffbfad, e5cf9698.47002577, e5cf9230.b4495f0a
<burst 14, pair 1> e5cf9698.43958106, e5cf9698.56a8f970, e5cf9698.56a99f58, e5cf9230.b4495f0a
<burst 14, pair 2> e5cf9698.52f1a9fb, e5cf9698.65e24729, e5cf9698.65e29763, e5cf9230.b4495f0a
<burst 14, pair 3> e5cf9698.628f5c28, e5cf9698.753313a1, e5cf9698.75337d7d, e5cf9230.b4495f0a
<burst 14, pair 4> e5cf9698.71a9fbe7, e5cf9698.84a2c551, e5cf9698.84a30812, e5cf9230.b4495f0a
<burst 14, pair 5> e5cf9698.810624dd, e5cf9698.946b892e, e5cf9698.946bfe07, e5cf9230.b4495f0a
<burst 14, pair 6> e5cf9698.90e56041, e5cf9698.a3e7bd6b, e5cf9698.a3e81de0, e5cf9230.b4495f0a
<burst 14, pair 7> e5cf9698.a0418937, e5cf9698.b30d909d, e5cf9698.b30e195b, e5cf9230.b4495f0a
